entry,name,size_bytes,custom_closure
0x0800c158,FUN_0800c158,4,
0x0800c15c,FUN_0800c15c,630,
0x0800c3d4,FUN_0800c3d4,30,
0x0800c3f4,FUN_0800c3f4,34,
0x0800c418,FUN_0800c418,66,yes
0x0800c464,FUN_0800c464,8,
0x0800c46c,FUN_0800c46c,90,
0x0800c4d0,FUN_0800c4d0,412,
0x0800c6ac,FUN_0800c6ac,120,
0x0800c724,FUN_0800c724,360,
0x0800c892,FUN_0800c892,162,
0x0800c910,FUN_0800c910,122,yes
0x0800c98c,FUN_0800c98c,14,
0x0800c99c,FUN_0800c99c,16,yes
0x0800c9ac,FUN_0800c9ac,18,yes
0x0800c9c0,FUN_0800c9c0,18,
0x0800c9d4,FUN_0800c9d4,18,
0x0800c9fc,FUN_0800c9fc,18,
0x0800ca10,FUN_0800ca10,44,
0x0800ca40,FUN_0800ca40,78,
0x0800ca90,FUN_0800ca90,158,
0x0800cb30,FUN_0800cb30,56,
0x0800cb70,FUN_0800cb70,64,
0x0800cbb0,FUN_0800cbb0,306,
0x0800ccf8,FUN_0800ccf8,730,
0x0800cfd0,FUN_0800cfd0,220,yes
0x0800d0b0,FUN_0800d0b0,158,
0x0800d150,FUN_0800d150,50,
0x0800d180,FUN_0800d180,46,
0x0800d1b0,FUN_0800d1b0,52,
0x0800d1f0,FUN_0800d1f0,706,
0x0800d4d0,FUN_0800d4d0,2,
0x0800d4e0,FUN_0800d4e0,2,
0x0800d520,FUN_0800d520,120,
0x0800d5c0,FUN_0800d5c0,8,
0x0800d5d0,FUN_0800d5d0,72,
0x0800d620,FUN_0800d620,14,
0x0800d640,FUN_0800d640,22,
0x0800d660,FUN_0800d660,54,yes
0x0800d6a0,FUN_0800d6a0,36,yes
0x0800d730,FUN_0800d730,16,
0x0800d750,FUN_0800d750,28,yes
0x0800d770,FUN_0800d770,60,yes
0x0800d7a0,FUN_0800d7a0,60,yes
0x0800d7f0,FUN_0800d7f0,82,
0x0800d850,FUN_0800d850,34,
0x0800d900,FUN_0800d900,70,
0x0800d920,FUN_0800d920,70,
0x0800d940,FUN_0800d940,60,
0x0800d980,FUN_0800d980,90,
0x0800d9f0,FUN_0800d9f0,14,
